codigo_dpa,nombre_parroquia,nombre_canton,nombre_provincia,centroide_lon,centroide_lat,area_km2
4520,MORALES,PORTOVELO,EL ORO,-79.45463120357623,-3.702551254032158,77.89
3275,SALATI,PORTOVELO,EL ORO,-79.49544739889707,-3.765168589489842,152.43
0325,BELLAVISTA,SANTA ROSA,EL ORO,-79.96587791960017,-3.509518350585159,52.21
1815,JAMBELI,SANTA ROSA,EL ORO,-80.15707840021496,-3.3685804668105264,299.15
2005,LA AVANZADA,SANTA ROSA,EL ORO,-79.94663672422708,-3.566112327011606,65.93
3330,SAN ANTONIO,SANTA ROSA,EL ORO,-80.00527976008723,-3.5461771763860495,22.55
4525,TORATA,SANTA ROSA,EL ORO,-79.850815688629,-3.5858102619588577,66.46
4215,VICTORIA,SANTA ROSA,EL ORO,-79.83466591161657,-3.4232534678043622,113.23
1665,BELLAMARIA,SANTA ROSA,EL ORO,-79.8582276172158,-3.5164674845754456,107.68
0005,ABANIN,ZARUMA,EL ORO,-79.51783123729815,-3.342430787666819,75.57
4445,ARCAPAMBA,ZARUMA,EL ORO,-79.60723102804542,-3.631073212764012,14.31
1420,GUANAZAN,ZARUMA,EL ORO,-79.50114962679199,-3.4513302181952668,180.51
1425,GUIZHAGUIÑA,ZARUMA,EL ORO,-79.47077819658448,-3.6556918820195428,156.77
1655,HUERTAS,ZARUMA,EL ORO,-79.60432552782494,-3.582356312463738,47.41
2350,MALVAS,ZARUMA,EL ORO,-79.62989236713554,-3.6681981862242337,10.26
4450,MULUNCAY GRANDE,ZARUMA,EL ORO,-79.63434671801221,-3.639320059522732,7.39
1700,SINSAO,ZARUMA,EL ORO,-79.57716351310361,-3.6218272266768454,45.25
1750,SALVIAS,ZARUMA,EL ORO,-79.52266548602957,-3.592598272382008,97.28
1100,LA LIBERTAD,LAS LAJAS,EL ORO,-80.10959144768104,-3.850615247899804,83.22
1080,EL PARAISO,LAS LAJAS,EL ORO,-80.02188359972159,-3.8005367385183173,78.42
1075,SAN ISIDRO,LAS LAJAS,EL ORO,-79.99485072694826,-3.736689198801774,28.81
1870,JUAN GOMEZ RENDON,GUAYAQUIL,GUAYAS,-80.33596091863485,-2.410249091206318,307.94
2470,MORRO,GUAYAQUIL,GUAYAS,-80.3056478911344,-2.563164811944067,323.52
2940,POSORJA,GUAYAQUIL,GUAYAS,-80.2849484611712,-2.691133222353519,73.63
3030,PUNA,GUAYAQUIL,GUAYAS,-80.00518862319083,-2.6603900832844003,1876.19
4120,TENGUEL,GUAYAQUIL,GUAYAS,-79.79524174040526,-3.0079638612139354,141.06
1435,SAN JACINTO,COLIMES,GUAYAS,-80.1406160251975,-1.6107225108085483,213.24
1855,JUAN BAUTISTA AGUIRRE,DAULE,GUAYAS,-79.87947112500466,-1.889444993138904,74.7
4500,EL LAUREL,DAULE,GUAYAS,-79.91656314521511,-1.8120143874527717,37.23
0260,LIMONAL,DAULE,GUAYAS,-80.01186876697749,-1.8065665943847027,48.5
2105,LAS LOJAS,DAULE,GUAYAS,-79.90802425866814,-1.9639578252373855,121.73
1470,GUAYAS / PUERTO NUEVO,EL EMPALME,GUAYAS,-79.62850509198702,-0.9394173849185017,363.73
1640,EL ROSARIO,EL EMPALME,GUAYAS,-79.77862259377657,-1.052777855848799,137.39
0920,CHOBO,MILAGRO,GUAYAS,-79.63518293289377,-2.1401291927728363,39.17
2390,MARISCAL SUCRE / HUAQUES,MILAGRO,GUAYAS,-79.50799750118834,-2.082309409872588,54.99
3235,ROBERTO ASTUDILLO,MILAGRO,GUAYAS,-79.5131959071388,-2.1715043508128042,81.47
