codigo_dpa,nombre_provincia,nombre_canton,nombre_parroquia
5155,GUAYAS,SALITRE,CANDILEJOS
5990,GUAYAS,SALITRE,SAN MATEO
5120,GUAYAS,SALITRE,BOCANA
7425,GUAYAS,DAULE,MAGRO
5370,AZUAY,CUENCA,YANUNCAY
5135,AZUAY,CUENCA,EL BATAN
6090,AZUAY,CUENCA,SUCRE
5450,AZUAY,CUENCA,HUAYNACAPAC
5875,AZUAY,CUENCA,RAMIREZ DAVALOS
5905,AZUAY,CUENCA,SAGRARIO
5080,AZUAY,CUENCA,CAÑARIBAMBA
5290,AZUAY,CUENCA,MONAY
5360,AZUAY,CUENCA,TOTORACOCHA
5330,AZUAY,CUENCA,EL VECINO
5075,AZUAY,CUENCA,BELLAVISTA
6865,AZUAY,CUENCA,HERMANO MIGUEL
5140,AZUAY,CUENCA,MACHANGARA
5395,AZUAY,GIRON,GIRON
5420,AZUAY,GUALACEO,GUALACEO
6435,AZUAY,CHORDELEG,CHORDELEG
6595,AZUAY,NABON,NABON
5775,AZUAY,PAUTE,PAUTE
6615,AZUAY,GUACHAPALA,GUACHAPALA
6485,AZUAY,EL PAN,EL PAN
6480,AZUAY,SEVILLA DE ORO,SEVILLA DE ORO
5690,AZUAY,PUCARA,PUCARA
6565,AZUAY,SAN FERNANDO,SAN FERNANDO
6045,AZUAY,SANTA ISABEL,SANTA ISABEL
6875,AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ
6085,AZUAY,SIGSIG,SIGSIG
6360,AZUAY,OÑA,OÑA
5040,EL ORO,ARENILLAS,ARENILLAS
5340,EL ORO,EL GUABO,EL GUABO
5850,EL ORO,PORTOVELO,PORTOVELO
6310,EL ORO,ZARUMA,ZARUMA
6795,EL ORO,MACHALA,EL CAMBIO
6490,EL ORO,MACHALA,9 DE MAYO
5805,EL ORO,MACHALA,PUERTO BOLIVAR
5625,EL ORO,MACHALA,MACHALA
7505,EL ORO,MACHALA,JUBONES
5565,EL ORO,MACHALA,LA PROVIDENCIA
7510,EL ORO,MACHALA,JAMBELI
6950,EL ORO,LAS LAJAS,PLATANILLOS
6900,EL ORO,SANTA ROSA,BALNEARIO JAMBELI
6805,EL ORO,HUAQUILLAS,MILTON REYES
6810,EL ORO,HUAQUILLAS,EL PARAISO
6815,EL ORO,HUAQUILLAS,ECUADOR
6800,EL ORO,HUAQUILLAS,HUALTACO
6820,EL ORO,HUAQUILLAS,UNION LOJANA
6670,EL ORO,SANTA ROSA,PUERTO JELI
6985,EL ORO,SANTA ROSA,JUMON
6060,EL ORO,SANTA ROSA,SANTA ROSA
6990,EL ORO,SANTA ROSA,NUEVO SANTA ROSA
5770,EL ORO,PASAJE,OCHOA LEON/MATRIZ
6370,EL ORO,PASAJE,BOLIVAR
6365,EL ORO,PASAJE,LOMA DE FRANCO
6375,EL ORO,PASAJE,TRES CERRITOS
6590,EL ORO,BALSAS,BALSAS
5715,EL ORO,CHILLA,CHILLA
6570,EL ORO,MARCABELI,MARCABELI
6680,EL ORO,PIÑAS,LA SUSAYA
6675,EL ORO,PIÑAS,PIÑAS GRANDE
5790,EL ORO,PIÑAS,PIÑAS
7525,LOJA,LOJA,CARIGAN
6210,LOJA,LOJA,EL VALLE
6100,LOJA,LOJA,SUCRE
5320,LOJA,LOJA,EL SAGRARIO
7530,LOJA,LOJA,PUNZARA
6015,LOJA,LOJA,SAN SEBASTIAN
5240,LOJA,CALVAS,CHILE
6025,LOJA,CALVAS,SAN VICENTE
5270,LOJA,CATAMAYO,CATAMAYO
5195,LOJA,CELICA,CELICA
6530,LOJA,CHAGUARPAMBA,CHAGUARPAMBA
5400,LOJA,GONZANAMA,GONZANAMA
5385,LOJA,MACARA,GRAL.ELOY ALFARO
5680,LOJA,MACARA,MACARA
5595,LOJA,PALTAS,LOURDES
6075,LOJA,SARAGURO,SARAGURO
6120,LOJA,SOZORANGA,SOZORANGA
6320,LOJA,ZAPOTILLO,ZAPOTILLO
5810,LOJA,PINDAL,PINDAL /FEDERICO PAEZ
6260,LOJA,QUILANGA,QUILANGA /LA PAZ
6730,LOJA,OLMEDO,OLMEDO
7520,STO DGO TSACHILAS,LA CONCORDIA,LA CONCORDIA
5870,STO DGO TSACHILAS,SANTO DOMINGO,RIO TOACHI
5860,STO DGO TSACHILAS,SANTO DOMINGO,BOMBOLI
5730,STO DGO TSACHILAS,SANTO DOMINGO,ABRAHAM CALAZACON
6180,STO DGO TSACHILAS,SANTO DOMINGO,ZARACAY
5865,STO DGO TSACHILAS,SANTO DOMINGO,RIO VERDE
6175,STO DGO TSACHILAS,SANTO DOMINGO,CHIGUILPE
5275,GUAYAS,DAULE,DAULE
6850,GUAYAS,DAULE,LA AURORA
5425,MORONA SANTIAGO,GUALAQUIZA,GUALAQUIZA
5760,MORONA SANTIAGO,PALORA,PALORA
5645,MORONA SANTIAGO,SANTIAGO,MENDEZ
6110,MORONA SANTIAGO,SUCUA,SUCUA
6390,MORONA SANTIAGO,HUAMBOYA,HUAMBOYA
6700,MORONA SANTIAGO,TAISHA,TAISHA
6735,MORONA SANTIAGO,LOGROÑO,LOGROÑO
6870,MORONA SANTIAGO,PABLO SEXTO,PABLO SEXTO
5825,PASTAZA,PASTAZA,PUYO
5650,PASTAZA,MERA,MERA
6395,PASTAZA,SANTA CLARA,SANTA CLARA
6705,PASTAZA,ARAJUNO,ARAJUNO
5815,ORELLANA,FCO. DE ORELLANA,EL COCA
6200,ORELLANA,JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS
6455,ORELLANA,LORETO,LORETO
5655,MORONA SANTIAGO,GUALAQUIZA,MERCEDES MOLINA
7485,ORELLANA,AGUARICO,TIPUTINI
205,SANTA ELENA,SANTA ELENA,ATAHUALPA
605,SANTA ELENA,SANTA ELENA,COLONCHE
820,SANTA ELENA,SANTA ELENA,CHANDUY
2355,SANTA ELENA,SANTA ELENA,MANGLARALTO
3915,SANTA ELENA,SANTA ELENA,SIMON BOLIVAR
1300,SANTA ELENA,SANTA ELENA,SAN JOSE DE ANCON
5920,SANTA ELENA,SALINAS,SALINAS
5130,SANTA ELENA,SANTA ELENA,BALLENITA
6610,SANTA ELENA,LA LIBERTAD,LA LIBERTAD
6270,SANTA ELENA,SALINAS,GRAL. A. E. GALLO
6275,SANTA ELENA,SALINAS,VICENTE ROCAFUERTE
6925,SANTA ELENA,SALINAS,SANTA ROSA
6280,SANTA ELENA,SALINAS,CARLOS ESPINOZA LARREA
2155,ZAMORA CHINCHIPE,ZAMORA,LA VICTORIA DE IMBANA
985,ZAMORA CHINCHIPE,YANZATZA,CHICANA
2240,ZAMORA CHINCHIPE,YANZATZA,LOS ENCUENTROS
665,ZAMORA CHINCHIPE,EL PANGUI,EL GUISMI
6885,ZAMORA CHINCHIPE,PAQUISHA,PAQUISHA
6355,ZAMORA CHINCHIPE,EL PANGUI,EL PANGUI
6295,ZAMORA CHINCHIPE,YANZATZA,YANZATZA
6305,ZAMORA CHINCHIPE,ZAMORA,ZAMORA
6840,ZAMORA CHINCHIPE,ZAMORA,EL LIMON
6740,ZAMORA CHINCHIPE,PALANDA,PALANDA
30,PICHINCHA,QUITO,ALANGASI
2540,PICHINCHA,QUITO,NAYON
80,PICHINCHA,QUITO,AMAGUAÑA
195,PICHINCHA,QUITO,ATAHUALPA /HABASPAMBA
430,PICHINCHA,QUITO,CALACALI
440,PICHINCHA,QUITO,CALDERON
625,PICHINCHA,QUITO,CONOCOTO
725,PICHINCHA,QUITO,CUMBAYA
855,PICHINCHA,QUITO,CHAVEZPAMBA
