codigo_dpa,nombre_provincia,nombre_canton,nombre_parroquia
5505,MANABI,JUNIN,JUNIN
5635,MANABI,MANTA,MANTA
6135,MANABI,MANTA,SAN MATEO
6155,MANABI,MANTA,TARQUI
6745,MANABI,MANTA,ELOY ALFARO
5570,MANABI,MANTA,LOS ESTEROS
7460,MANABI,MONTECRISTI,ANIBAL SAN ANDRES
7490,MANABI,MONTECRISTI,COLORADO
6725,MANABI,SANTA ANA,LODANA
5095,MANABI,SUCRE,BAHIA DE CARAQUEZ
6835,LOS RIOS,BABAHOYO,EL SALTO
6830,LOS RIOS,BABAHOYO,BARREIRO /SANTA RITA
5215,LOS RIOS,BABAHOYO,CLEMENTE BAQUERIZO
5085,LOS RIOS,BABA,BABA
5640,LOS RIOS,MONTALVO,MONTALVO /SABANETA
5800,LOS RIOS,PUEBLO VIEJO,PUEBLO VIEJO
6645,LOS RIOS,QUEVEDO,NICOLAS INFANTE DIAZ
6640,LOS RIOS,QUEVEDO,VENUS DEL RIO QUEVEDO
6635,LOS RIOS,QUEVEDO,SAN CRISTOBAL
6115,LOS RIOS,QUEVEDO,SAN CAMILO
5855,LOS RIOS,QUEVEDO,QUEVEDO
6660,LOS RIOS,QUEVEDO,VIVA ALFARO
6655,LOS RIOS,QUEVEDO,SIETE DE OCTUBRE
6650,LOS RIOS,QUEVEDO,GUAYACAN
6690,LOS RIOS,QUEVEDO,24 DE MAYO
5185,LOS RIOS,URDANETA,CATARAMA
7480,LOS RIOS,VENTANAS,10 NOVIEMBRE
6235,LOS RIOS,VENTANAS,VENTANAS
6245,LOS RIOS,VINCES,VINCES
6330,LOS RIOS,PALENQUE,PALENQUE
6465,LOS RIOS,BUENA FE,SN JACINTO DE BUENA FE
6685,LOS RIOS,VALENCIA,VALENCIA
6695,LOS RIOS,MOCACHE,MOCACHE
6150,GUAYAS,GUAYAQUIL,TARQUI
6545,GUAYAS,A. BAQUERIZO MORENO,A.BAQUERIZO M /JUJAN
5100,GUAYAS,BALZAR,BALZAR
5365,GUAYAS,COLIMES,COLIMES
5660,GUAYAS,MILAGRO,MILAGRO
5675,GUAYAS,NARANJAL,NARANJAL
5705,GUAYAS,NARANJITO,NARANJITO
5725,GUAYAS,PALESTINA,PALESTINA
5735,GUAYAS,PEDRO CARBO,PEDRO CARBO
5925,GUAYAS,SAMBORONDON,SAMBORONDON
6580,GUAYAS,SANTA LUCIA,SANTA LUCIA
5765,GUAYAS,SALITRE,PARAISO
6285,GUAYAS,YAGUACHI,YAGUACHI NUEVO
6255,GUAYAS,PLAYAS,GRAL. VILLAMIL / PLAYAS
6385,GUAYAS,SIMON BOLIVAR,SIMON BOLIVAR
6410,GUAYAS,CRNL MARCELINO MARIDUENAS,CRNL MARCELINO MARIDUENAS
6440,GUAYAS,LOMAS SARGENTILLO,LOMAS SARGENTILLO
6460,GUAYAS,NOBOL / PIEDRAHITA,NARCISA DE JESUS
6620,GUAYAS,GRAL. A. ELIZALDE,GRAL. ELIZALDE /BUCAY
6710,GUAYAS,ISIDRO AYORA,ISIDRO AYORA
6405,GUAYAS,GUAYAQUIL,PASCUALES
6265,GUAYAS,GUAYAQUIL,XIMENA
5355,GUAYAS,GUAYAQUIL,FEBRES CORDERO
5585,GUAYAS,GUAYAQUIL,LETAMENDI
5380,GUAYAS,GUAYAQUIL,GARCIA MORENO
5055,GUAYAS,GUAYAQUIL,AYACUCHO
5720,GUAYAS,GUAYAQUIL,OLMEDO/SAN ALEJO
5125,GUAYAS,GUAYAQUIL,BOLIVAR/SAGRARIO
5890,GUAYAS,GUAYAQUIL,ROCAFUERTE
5695,GUAYAS,GUAYAQUIL,9 DE OCTUBRE
5880,GUAYAS,GUAYAQUIL,ROCA
5170,GUAYAS,GUAYAQUIL,CARBO/CONCEPCION
6095,GUAYAS,GUAYAQUIL,SUCRE
6185,GUAYAS,GUAYAQUIL,URDANETA
7445,GUAYAS,SAMBORONDON,LA PUNTILLA (SATELITE)
5155,GUAYAS,SALITRE,CANDILEJOS
5200,GUAYAS,SALITRE,SALITRE
5990,GUAYAS,SALITRE,SAN MATEO
5120,GUAYAS,SALITRE,BOCANA
7425,GUAYAS,DAULE,MAGRO
5370,AZUAY,CUENCA,YANUNCAY
5135,AZUAY,CUENCA,EL BATAN
6090,AZUAY,CUENCA,SUCRE
5450,AZUAY,CUENCA,HUAYNACAPAC
6010,AZUAY,CUENCA,SAN SEBASTIAN
5875,AZUAY,CUENCA,RAMIREZ DAVALOS
5905,AZUAY,CUENCA,SAGRARIO
5930,AZUAY,CUENCA,SAN BLAS
5290,AZUAY,CUENCA,MONAY
5360,AZUAY,CUENCA,TOTORACOCHA
5075,AZUAY,CUENCA,BELLAVISTA
6865,AZUAY,CUENCA,HERMANO MIGUEL
5140,AZUAY,CUENCA,MACHANGARA
5395,AZUAY,GIRON,GIRON
5420,AZUAY,GUALACEO,GUALACEO
6435,AZUAY,CHORDELEG,CHORDELEG
6595,AZUAY,NABON,NABON
5775,AZUAY,PAUTE,PAUTE
6615,AZUAY,GUACHAPALA,GUACHAPALA
6485,AZUAY,EL PAN,EL PAN
6480,AZUAY,SEVILLA DE ORO,SEVILLA DE ORO
